Issue Date,Tender,Security Type,Discount Rate,Interest Rate
01 Jul 2019,1648,182 DAY BILL,14.1263,15.1999
01 Jul 2019,1648,364 DAY BILL,15.1940,17.9162
24 Jun 2019,1647,91 DAY BILL,14.2453,14.7714
24 Jun 2019,1647,182 DAY BILL,14.1492,15.2264
24 Jun 2019,1647,10 YR FXR BOND,19.8000,19.8000
17 Jun 2019,1646,91 DAY BILL,14.2317,14.7567
17 Jun 2019,1646,182 DAY BILL,14.1640,15.2435
17 Jun 2019,1646,364 DAY BILL,15.1988,17.9229
10 Jun 2019,1645,91 DAY BILL,14.2234,14.7478
10 Jun 2019,1645,182 DAY BILL,14.1652,15.2449
03 Jun 2019,501,56 DAY BILL,15.6156,16.0000
03 Jun 2019,1644,91 DAY BILL,14.2953,14.8251
03 Jun 2019,1644,182 DAY BILL,14.2561,15.3503
03 Jun 2019,1644,364 DAY BILL,15.2539,17.9995
27 May 2019,1643,91 DAY BILL,14.3262,14.8584
27 May 2019,1643,182 DAY BILL,14.2846,15.3833
27 May 2019,1643,3 YR FXR BOND,19.7000,19.7000
20 May 2019,1642,91 DAY BILL,14.3825,14.9189
20 May 2019,1642,182 DAY BILL,14.3571,15.4674
20 May 2019,1642,364 DAY BILL,15.2582,18.0055
13 May 2019,1641,91 DAY BILL,14.3376,14.8706
13 May 2019,1641,182 DAY BILL,14.2589,15.3535
13 May 2019,1641,364 DAY BILL,15.2726,18.0256
06 May 2019,1640,91 DAY BILL,14.2319,14.7569
06 May 2019,1640,182 DAY BILL,14.2354,15.3263
29 Apr 2019,1639,91 DAY BILL,14.1499,14.6688
29 Apr 2019,1639,182 DAY BILL,14.0114,15.0669
29 Apr 2019,1639,364 DAY BILL,15.2618,18.0105
22 Apr 2019,1638,91 DAY BILL,14.1448,14.6633
22 Apr 2019,1638,182 DAY BILL,14.0126,15.0683
22 Apr 2019,1638,5 YR FXR BOND,19.7500,19.7500
15 Apr 2019,1637,91 DAY BILL,14.1862,14.7078
15 Apr 2019,1637,182 DAY BILL,14.0404,15.1005
15 Apr 2019,1637,364 DAY BILL,15.2881,18.0472
08 Apr 2019,1636,91 DAY BILL,14.1887,14.7105
08 Apr 2019,1636,182 DAY BILL,14.0566,15.1192
01 Apr 2019,1635,91 DAY BILL,14.2037,14.7266
01 Apr 2019,1635,182 DAY BILL,14.0958,15.1646
